service, arrival_time, lat, lon
912A , 2019-03-29T06:04:54+08:00 , 1.4369131666666668 , 103.7946295
962 , 2019-03-29T06:06:54+08:00 , 1.4354771666666668 , 103.79023066666667
904 , 2019-03-29T06:06:47+08:00 , 1.4414413333333334 , 103.8056865
904 , 2019-03-29T06:13:13+08:00 , 1.4439771666666665 , 103.80408216666666
904 , 2019-03-29T06:21:56+08:00 , 1.4396395 , 103.79758466666667
912 , 2019-03-29T06:09:07+08:00 , 1.4364673333333333 , 103.79755166666666
912A , 2019-03-29T06:05:26+08:00 , 1.4368091666666667 , 103.80180966666667
912A , 2019-03-29T06:08:47+08:00 , 1.4375831666666667 , 103.79236983333334
912A , 2019-03-29T06:18:15+08:00 , 1.4372601666666667 , 103.784802
962 , 2019-03-29T06:06:02+08:00 , 1.434583 , 103.80177966666666
962 , 2019-03-29T06:10:23+08:00 , 1.4345515 , 103.793699
904 , 2019-03-29T06:13:27+08:00 , 1.444271 , 103.80406433333333
904 , 2019-03-29T06:22:08+08:00 , 1.43909 , 103.803708
904 , 2019-03-29T06:29:29+08:00 , 1.4391073333333333 , 103.79224616666667
912 , 2019-03-29T06:08:30+08:00 , 1.4387941666666666 , 103.802826
912A , 2019-03-29T06:08:47+08:00 , 1.4350533333333333 , 103.8001935
912A , 2019-03-29T06:18:00+08:00 , 1.43549 , 103.79064133333333
962 , 2019-03-29T06:10:15+08:00 , 1.436132 , 103.80298
962 , 2019-03-29T06:15:51+08:00 , 1.4347185 , 103.793423
904 , 2019-03-29T06:14:03+08:00 , 1.438989 , 103.80323983333334
904 , 2019-03-29T06:22:32+08:00 , 1.4446338333333333 , 103.80269033333333
904 , 2019-03-29T06:28:38+08:00 , 1.4398191666666666 , 103.802566
912A , 2019-03-29T06:18:41+08:00 , 1.4369643333333333 , 103.7972605
912A , 2019-03-29T06:24:16+08:00 , 1.4368275 , 103.7891105
962 , 2019-03-29T06:15:47+08:00 , 1.4344113333333333 , 103.80166283333334
962 , 2019-03-29T06:24:06+08:00 , 1.4369195000000001 , 103.7891085
904 , 2019-03-29T06:22:19+08:00 , 1.4414926666666668 , 103.805415
904 , 2019-03-29T06:29:12+08:00 , 1.4429645 , 103.804512
904 , 2019-03-29T06:37:51+08:00 , 1.4393318333333334 , 103.7953225
912A , 2019-03-29T06:19:01+08:00 , 1.4387526666666668 , 103.80276783333333
912A , 2019-03-29T06:23:45+08:00 , 1.4368871666666667 , 103.7956725
912A , 2019-03-29T06:29:50+08:00 , 1.4371565 , 103.78912933333334
962 , 2019-03-29T06:24:21+08:00 , 1.4337841666666666 , 103.7961545
962 , 2019-03-29T06:29:08+08:00 , 1.4381095 , 103.78868933333334
904 , 2019-03-29T06:29:52+08:00 , 1.4449446666666668 , 103.80463933333333
904 , 2019-03-29T06:38:07+08:00 , 1.4395083333333334 , 103.8027485
912 , 2019-03-29T06:30:58+08:00 , 1.4368466666666666 , 103.7945985
